block_id,hash,time,size,weight,version,lock_time,is_coinbase,has_witness,input_count,output_count,input_total,input_total_usd,output_total,output_total_usd,fee,fee_usd,fee_per_kb,fee_per_kb_usd,fee_per_kwu,fee_per_kwu_usd,cdd_total
37494,faf705b1dd0c22dc55b77fc436618118800ea9bd22f89200457d40139f792b83,2010-02-01 00:08:21,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37495,825b31b5c08174c85530c5a643cbcce2781d4b4ae6a9ee13fff8be1355188c93,2010-02-01 00:10:53,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37496,f480fd66255fe9bafd9b730effeace78182c0eb5c06e958c4d08615f6ce8ce47,2010-02-01 00:12:59,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37497,d9d0a615902ad038de11f7fe8e49d044d8d1a77791e663960a517e1581c680ff,2010-02-01 00:15:31,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37498,ff5c63a108eeea781b25e8ed90ac98204b528d29480f6e6199fae31d018efe85,2010-02-01 00:17:36,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37499,8c47eef3813106ac65a14732e10e5379f54a7f21e86491525f996507508ab74d,2010-02-01 00:25:03,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37500,9696c0530a73fb3f607c98f589b2809ba3bfb525e524a751207d1b7213b3ac6c,2010-02-01 00:33:35,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37501,f3bd29c9d3ce2e6757a332e04a5e9cea9addeabf24905b8c45b5ea72015fa0ea,2010-02-01 00:34:09,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37502,67d95019182025db94fa1053cd01c5221880c07151701bb8c4409d8be0db17e3,2010-02-01 00:34:49,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37503,32baed376f113fbbdbf78ab399974c666e599c739731c9efbe44170cd9d4fe04,2010-02-01 00:41:31,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37503,a41bb1b3f8ce6b1d9cf7bd7a8707efeb7316dd5ba11549d1510d3224374e3710,2010-02-01 00:41:31,235,940,1,0,0,0,1,2,35000000000,3.5,35000000000,3.5,0,0,0,0,0,0,236.53356481481
37504,934f119411356f2175874a245c24f7d2e579c7c7279b24b0987df8b98f3e0cb6,2010-02-01 00:44:34,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37505,c072db46aa53899ba714a029fb98d600d690e54e18168fe295844bef5053e66a,2010-02-01 00:48:43,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37506,c43cd3036d97fb876930592227e45074e0bbe59ca80c023843ea66bb3df2308e,2010-02-01 00:48:47,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37507,5b88dc67096e495aecbf9eeb720216c982666826c7fa7ed5b3da7ae786d0bafb,2010-02-01 00:51:28,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37508,52d9b61c7fa9ecca34ca42cfd1bb8bd6837b7692202a753e4e2d259d2e2bda04,2010-02-01 00:51:49,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
